409.350,2.079
409.416,2.140
409.483,2.070
409.550,2.039
409.616,2.004
409.683,2.039
409.749,2.114
409.816,2.201
409.882,2.175
409.949,2.039
410.015,2.109
410.082,2.083
410.149,2.127
410.215,2.079
410.282,2.157
410.348,2.175
410.415,2.275
410.481,2.358
410.548,2.393
410.614,2.380
410.681,2.563
410.748,2.520
410.814,2.507
410.881,2.581
410.947,2.651
411.014,2.620
411.080,2.699
411.147,2.755
411.213,2.707
411.280,2.795
411.347,2.843
411.413,2.917
411.480,2.987
411.546,2.983
411.613,2.996
411.679,3.013
411.746,3.074
411.812,3.079
411.879,2.878
411.946,2.996
412.012,3.105
412.079,3.170
412.145,3.271
412.212,3.279
412.278,3.402
412.345,3.389
412.411,3.480
412.478,3.790
412.545,3.913
412.611,3.943
412.678,4.009
412.744,4.066
412.811,3.795
412.877,3.790
412.944,3.808
413.010,4.052
413.077,4.183
413.144,4.402
413.210,4.397
413.277,4.380
413.343,4.197
413.410,4.498
413.476,4.445
413.543,4.603
413.609,4.672
413.676,4.987
413.743,4.939
413.809,4.882
413.876,5.144
413.942,5.144
414.009,5.100
414.075,5.188
414.142,5.354
414.209,5.323
414.275,5.459
414.342,5.738
414.408,5.629
414.475,5.904
414.541,6.022
414.608,6.074
414.674,6.192
414.741,6.362
414.808,6.380
414.874,6.493
414.941,6.747
415.007,6.882
415.074,7.109
415.140,7.306
415.207,7.668
415.273,7.777
415.340,8.031
415.407,8.314
415.473,8.742
415.540,8.777
415.606,8.878
415.673,9.349
415.739,9.563
415.806,9.948
415.872,10.590
415.939,11.122
416.006,11.441
416.072,11.760
416.139,12.231
416.205,12.576
416.272,12.843
416.338,13.319
416.405,13.572
416.471,13.904
416.538,13.961
416.605,14.332
416.671,14.721
416.738,15.122
416.804,15.672
416.871,15.843
416.937,15.721
417.004,15.563
417.070,15.786
417.137,15.991
417.204,16.760
417.270,17.258
417.337,17.908
417.403,18.354
417.470,18.537
417.536,18.598
417.603,18.734
417.669,19.105
417.736,19.598
417.803,20.009
417.869,20.079
417.936,20.092
418.002,19.952
418.069,19.904
418.135,19.948
418.202,20.223
418.268,20.651
418.335,20.873
418.402,20.742
418.468,20.402
418.535,20.100
418.601,20.026
418.668,20.410
418.734,21.000
418.801,21.559
418.868,21.581
418.934,21.729
419.001,21.891
419.067,22.376
419.134,22.659
419.200,22.930
419.267,22.716
419.333,22.175
419.400,21.646
419.467,21.620
419.533,21.214
419.600,20.921
419.666,20.655
419.733,20.572
419.799,21.004
419.866,21.336
419.932,21.410
419.999,21.288
420.066,21.467
420.132,21.808
420.199,22.100
420.265,22.432
420.332,22.782
420.398,23.131
420.465,23.633
420.531,23.860
420.598,23.812
420.665,23.873
420.731,23.904
420.798,23.546
420.864,23.428
420.931,23.358
420.997,23.721
421.064,24.175
421.130,24.585
421.197,24.432
421.264,24.288
421.330,23.563
421.397,23.275
421.463,22.939
421.530,22.856
421.596,23.301
421.663,23.651
421.729,23.965
421.796,24.467
421.863,24.694
421.929,25.074
421.996,25.039
422.062,24.865
422.129,24.389
422.195,23.707
422.262,22.860
422.328,22.258
422.395,21.655
422.462,20.677
422.528,19.865
422.595,20.210
422.661,21.070
422.728,22.341
422.794,23.541
422.861,24.721
422.927,25.236
422.994,25.336
423.061,25.048
423.127,24.463
423.194,24.227
423.260,23.969
423.327,23.624
423.393,23.472
423.460,23.210
423.526,23.070
423.593,23.087
423.660,23.345
423.726,23.576
423.793,23.681
423.859,24.004
423.926,24.227
423.992,24.472
424.059,24.301
424.126,24.507
424.192,24.590
424.259,24.646
424.325,24.991
424.392,25.489
424.458,25.624
424.525,25.424
424.591,24.769
424.658,24.162
424.725,23.690
424.791,23.358
424.858,22.882
424.924,22.978
424.991,23.563
425.057,24.362
425.124,25.258
425.190,25.467
425.257,25.004
425.324,24.467
425.390,24.039
425.457,24.323
425.523,24.917
425.590,25.952
425.656,26.284
425.723,25.825
425.789,24.769
425.856,23.869
425.923,23.380
425.989,23.153
426.056,23.419
426.122,24.480
426.189,25.127
426.255,26.087
426.322,26.306
426.388,26.694
426.455,26.707
426.522,26.349
426.588,26.096
426.655,26.057
426.721,25.965
426.788,25.668
426.854,24.908
426.921,24.153
426.987,23.253
427.054,22.943
427.121,22.734
427.187,22.969
427.254,23.105
427.320,23.594
427.387,23.965
427.453,24.376
427.520,24.703
427.586,26.004
427.653,26.476
427.720,26.983
427.786,26.742
427.853,26.148
427.919,25.511
427.986,25.201
428.052,25.384
428.119,25.721
428.185,25.987
428.252,26.607
428.319,26.406
428.385,26.245
428.452,25.712
428.518,25.258
428.585,25.293
428.651,25.310
428.718,25.262
428.785,24.825
428.851,24.293
428.918,24.052
428.984,24.384
429.051,24.598
429.117,25.319
429.184,26.022
429.250,26.201
429.317,26.118
429.384,25.821
429.450,25.380
429.517,25.524
429.583,25.144
429.650,24.511
429.716,23.760
429.783,23.066
429.849,22.424
429.916,21.860
429.983,21.633
